Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1672/620    0.003    0.000    0.004    0.000 sre_parse.py:151(getwidth)
      944    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      260    0.003    0.000    0.014    0.000 font_manager.py:383(ttfFontProperty)
    12833    0.003    0.000    0.003    0.000 {method 'startswith' of 'unicode' objects}
     4602    0.003    0.000    0.003    0.000 Tetris.py:98(valid)
     4115    0.003    0.000    0.003    0.000 __init__.py:873(__getitem__)
      540    0.003    0.000    0.003    0.000 {pygame.draw.rect}
      680    0.003    0.000    0.007    0.000 path.py:199(_update_values)
  300/295    0.003    0.000    0.031    0.000 {__import__}
        1    0.003    0.003    0.032    0.032 __init__.py:101(<module>)
      468    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     2303    0.003    0.000    0.003    0.000 {method 'random_sample' of 'mtrand.RandomState' objects}
        7    0.003    0.000    0.003    0.000 {built-in method draw_path}
     6117    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     4926    0.002    0.000    0.004    0.000 sre_parse.py:141(__getitem__)
      417    0.002    0.000    0.004    0.000 sre_compile.py:256(_optimize_charset)
      536    0.002    0.000    0.003    0.000 version.py:353(_cmpkey)
      318    0.002    0.000    0.049    0.000 __init__.py:2099(find_on_path)
        1    0.002    0.002    0.009    0.009 widgets.py:10(<module>)
      315    0.002    0.000    0.002    0.000 {open}
      544    0.002    0.000    0.021    0.000 markers.py:182(_recache)
        2    0.002    0.001    0.003    0.002 __init__.py:3(<module>)
      121    0.002    0.000    0.027    0.000 lines.py:249(__init__)
     5294    0.002    0.000    0.005    0.000 fnmatch.py:69(fnmatchcase)
       11    0.002    0.000    0.006    0.001 artist.py:957(_get_setters_and_targets)
     1621    0.002    0.000    0.007    0.000 transforms.py:85(__init__)
  308/100    0.002    0.000    0.015    0.000 os.py:209(walk)
      551    0.002    0.000    0.060    0.000 re.py:230(_compile)
      402    0.002    0.000    0.002    0.000 font_manager.py:357(__init__)
      680    0.002    0.000    0.011    0.000 path.py:103(__init__)
      292    0.002    0.000    0.042    0.000 __init__.py:2507(from_location)
       98    0.002    0.000    0.003    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     2920    0.002    0.000    0.002    0.000 {_codecs.utf_8_decode}
